item,amount,room,details
сломанный кофеварка кафедры,16,985,у доски
параллельный плакат мотивации,10,1734,у доски
забытый проектор,13,1926,рядом с розеткой
интерактивный маркер,12,2382,за занавеской
самообновляющийся кофеварка кафедры,1,4273,на подоконнике
интерактивный лампа,2,2239,на подоконнике
параллельный стул-неврастеник,11,4987,под потолком
магнитный коробка с голосами,13,5066,на кафедре
сломанный робот-ассистент,14,1657,под столом
забытый микрофон-невидимка,12,4359,под потолком
самообновляющийся дрон наблюдения за лекцией,20,673,рядом с розеткой
голографический карта несуществующих аудиторий,17,1120,в углу аудитории
оптимистичный пакет загадок,10,3445,внутри вентиляции
депрессивный ноутбук-призрак,13,1142,за занавеской
голографический соковыжималка идей,13,1525,внутри вентиляции
голографический учебник по квантовой философии,7,103,под потолком
самообновляющийся соковыжималка идей,15,4851,в коробке на подоконнике
забытый дрон наблюдения за лекцией,17,3722,в коробке на подоконнике
антикварный дрон наблюдения за лекцией,10,1490,внутри вентиляции
самообновляющийся соковыжималка идей,3,5285,у доски
забытый забытый бутерброд,5,2642,под столом
локальный забытый бутерброд,20,478,на подоконнике
забытый стул-неврастеник,13,3830,в коробке на подоконнике
квантовый забытый бутерброд,1,3373,на подоконнике
шумящий забытый бутерброд,17,3582,в коробке на подоконнике
резиновый микрофон-невидимка,4,511,в коробке на подоконнике
университетский плакат мотивации,18,1192,на кафедре
университетский плакат мотивации,14,2699,внутри вентиляции
локальный лампа,15,3752,в углу аудитории
интерактивный пылесос для мыслей,17,2125,в коробке на подоконнике
интерактивный забытый бутерброд,15,5234,на подоконнике
интерактивный забытый бутерброд,11,2440,рядом с розеткой
квантовый маркер,5,4524,у доски
квантовый энергетический кристалл (почти работает),7,3237,на подоконнике
самообновляющийся стул-неврастеник,18,3498,в коробке на подоконнике
забытый доска,14,3506,под потолком
сингулярный энергетический кристалл (почти работает),19,4884,под потолком
параллельный проектор,10,4007,под потолком
резиновый микрофон-невидимка,16,3532,у доски
локальный стул-неврастеник,1,2335,под потолком
оптимистичный дрон наблюдения за лекцией,6,2853,в коробке на подоконнике
сингулярный соковыжималка идей,13,1145,на кафедре
сингулярный дрон наблюдения за лекцией,3,4723,за занавеской
хаотический стол,6,3611,под столом
самообновляющийся кофеварка кафедры,7,2231,в коробке на подоконнике
оптимистичный пакет загадок,9,2777,под потолком
локальный маркер,1,2166,
параллельный доска,8,4518,за занавеской
сломанный пылесос для мыслей,1,662,у доски
квантовый проектор,8,1733,в шкафу
магнитный дрон наблюдения за лекцией,19,3979,у доски
интерактивный энергетический кристалл (почти работает),12,3909,в шкафу
магнитный соковыжималка идей,6,5063,в углу аудитории
сингулярный бутылка времени,10,985,на кафедре
забытый кофеварка кафедры,3,3174,на кафедре
магнитный забытый бутерброд,10,5238,за занавеской
сломанный кресло,12,5018,внутри вентиляции
параллельный дрон наблюдения за лекцией,3,3609,внутри вентиляции
депрессивный проектор,16,2895,на подоконнике
хаотический кабель HDMI-невидимка,5,3651,под потолком
университетский карта несуществующих аудиторий,9,1542,на кафедре
хаотический пульт управления хаосом,14,4508,
самообновляющийся робот-ассистент,8,4953,на подоконнике
резиновый плакат мотивации,15,2384,на кафедре
оптимистичный дрон наблюдения за лекцией,11,5099,под столом
шумящий пакет загадок,16,4149,у доски
самообновляющийся робот-ассистент,9,3006,на кафедре
сингулярный микрофон-невидимка,17,2363,у доски
депрессивный забытый бутерброд,16,801,внутри вентиляции
локальный энергетический кристалл (почти работает),16,2068,в коробке на подоконнике
голографический маркер,8,241,под потолком
параллельный учебник по квантовой философии,16,2093,внутри вентиляции
депрессивный кабель HDMI-невидимка,18,4449,рядом с розеткой
хаотический энергетический кристалл (почти работает),9,2982,в углу аудитории
магнитный забытый бутерброд,7,2159,рядом с розеткой
шумящий карта несуществующих аудиторий,7,1079,у доски
университетский робот-ассистент,20,4066,в углу аудитории
голографический ноутбук-призрак,8,923,рядом с розеткой
сингулярный учебник по квантовой философии,18,1569,в шкафу
сломанный доска,18,2347,в углу аудитории
локальный пылесос для мыслей,4,1134,под столом
локальный учебник по квантовой философии,16,4802,в коробке на подоконнике
сломанный лампа,9,2891,в коробке на подоконнике
оптимистичный маркер,16,1034,на подоконнике
сломанный пылесос для мыслей,5,4826,в шкафу
антикварный учебник по квантовой философии,8,4710,на подоконнике
резиновый стул-неврастеник,17,4671,под потолком
голографический плакат мотивации,19,3790,под потолком
сломанный бутылка времени,20,2601,
забытый ноутбук-призрак,9,912,за занавеской
резиновый лампа,6,765,внутри вентиляции
сингулярный лампа,14,714,в коробке на подоконнике
голографический пульт управления хаосом,2,4964,у доски
голографический энергетический кристалл (почти работает),15,2460,на подоконнике
забытый робот-ассистент,14,2012,на подоконнике
квантовый забытый бутерброд,9,4561,в шкафу
шумящий доска,10,684,на кафедре
хаотический учебник по квантовой философии,4,4762,в коробке на подоконнике
оптимистичный энергетический кристалл (почти работает),9,2591,внутри вентиляции
хаотический пульт управления хаосом,3,4523,на кафедре
самообновляющийся стул-неврастеник,20,426,в углу аудитории
резиновый маркер,19,311,на кафедре
интерактивный дрон наблюдения за лекцией,19,269,под столом
университетский пульт управления хаосом,15,1535,в углу аудитории
депрессивный бутылка времени,16,1586,на подоконнике
депрессивный кабель HDMI-невидимка,11,3950,рядом с розеткой
самообновляющийся лампа,14,956,
оптимистичный учебник по квантовой философии,18,4158,под столом
самообновляющийся маркер,9,3825,рядом с розеткой
университетский кофеварка кафедры,1,1049,за занавеской
депрессивный плакат мотивации,2,4544,у доски
локальный кабель HDMI-невидимка,15,4347,под столом
квантовый робот-ассистент,10,1767,в коробке на подоконнике
сингулярный кресло,20,4070,у доски
сингулярный учебник по квантовой философии,18,1397,под потолком
магнитный забытый бутерброд,15,863,на подоконнике
голографический пульт управления хаосом,17,1361,
локальный стул-неврастеник,16,2339,у доски
квантовый микрофон-невидимка,13,3841,у доски
квантовый коробка с голосами,3,5010,в углу аудитории
университетский пакет загадок,9,3499,под столом
голографический карта несуществующих аудиторий,19,2417,на кафедре
хаотический стол,18,4111,в коробке на подоконнике
оптимистичный пакет загадок,15,2927,рядом с розеткой
резиновый энергетический кристалл (почти работает),19,1645,под потолком
сломанный стул-неврастеник,11,2013,
оптимистичный энергетический кристалл (почти работает),13,3974,за занавеской
сломанный пульт управления хаосом,5,1346,внутри вентиляции
магнитный пакет загадок,15,4934,на подоконнике
сингулярный плакат мотивации,5,4408,под потолком
локальный маркер,9,1364,рядом с розеткой
оптимистичный энергетический кристалл (почти работает),3,5205,рядом с розеткой
самообновляющийся кофеварка кафедры,16,4471,внутри вентиляции
антикварный соковыжималка идей,8,394,за занавеской
антикварный забытый бутерброд,14,2454,на подоконнике
магнитный энергетический кристалл (почти работает),15,5291,в шкафу
сломанный проектор,11,2553,под столом
параллельный кабель HDMI-невидимка,14,2503,в шкафу
депрессивный коробка с голосами,19,2100,за занавеской
шумящий лампа,3,1575,на кафедре
резиновый соковыжималка идей,16,3233,на кафедре
хаотический забытый бутерброд,9,1272,в коробке на подоконнике
сингулярный дрон наблюдения за лекцией,15,2191,в углу аудитории
антикварный лампа,15,4577,рядом с розеткой
депрессивный учебник по квантовой философии,9,4913,в коробке на подоконнике
оптимистичный ноутбук-призрак,16,2574,на подоконнике
параллельный кофеварка кафедры,19,2043,в углу аудитории
оптимистичный проектор,9,2518,под столом
сломанный дрон наблюдения за лекцией,20,4736,
резиновый учебник по квантовой философии,20,4169,рядом с розеткой
забытый пылесос для мыслей,20,1894,в углу аудитории
магнитный пылесос для мыслей,2,1220,в углу аудитории
параллельный доска,5,3711,на подоконнике
депрессивный пакет загадок,6,2517,у доски
параллельный микрофон-невидимка,17,1182,внутри вентиляции
интерактивный лампа,16,2332,в углу аудитории
хаотический кресло,3,2874,в шкафу
оптимистичный дрон наблюдения за лекцией,18,1948,рядом с розеткой
сингулярный кофеварка кафедры,9,839,внутри вентиляции
параллельный плакат мотивации,9,1112,на кафедре
параллельный пылесос для мыслей,4,3221,за занавеской
сингулярный пульт управления хаосом,20,2015,внутри вентиляции
резиновый соковыжималка идей,3,2787,за занавеской
голографический энергетический кристалл (почти работает),14,3903,на подоконнике
сломанный доска,10,1245,в коробке на подоконнике
резиновый кресло,18,1051,в шкафу
параллельный плакат мотивации,18,3283,под потолком
квантовый карта несуществующих аудиторий,14,4911,за занавеской
депрессивный пульт управления хаосом,9,911,под столом
хаотический ноутбук-призрак,15,3135,у доски
параллельный кресло,18,3071,за занавеской
оптимистичный доска,9,3038,у доски
антикварный плакат мотивации,7,1100,за занавеской
сингулярный соковыжималка идей,2,5338,рядом с розеткой
забытый стол,3,2095,внутри вентиляции
забытый бутылка времени,8,1797,рядом с розеткой
сингулярный соковыжималка идей,9,1308,в шкафу
интерактивный микрофон-невидимка,6,1164,на подоконнике
сингулярный стол,12,311,у доски
сингулярный пакет загадок,6,4923,в углу аудитории
депрессивный стол,17,529,на подоконнике
хаотический пульт управления хаосом,12,620,внутри вентиляции
хаотический кресло,17,4963,у доски
университетский доска,10,5138,в коробке на подоконнике
сломанный проектор,16,5370,под потолком
магнитный дрон наблюдения за лекцией,16,3592,
антикварный маркер,11,3733,на кафедре
квантовый маркер,9,1315,на кафедре
самообновляющийся бутылка времени,13,5286,на кафедре
хаотический учебник по квантовой философии,17,4446,на кафедре
магнитный кресло,18,3624,
хаотический стул-неврастеник,8,1861,под потолком
оптимистичный плакат мотивации,14,2876,
депрессивный пакет загадок,11,878,за занавеской
квантовый кабель HDMI-невидимка,16,2188,на подоконнике
антикварный маркер,14,847,на подоконнике
сломанный стол,19,3152,внутри вентиляции
магнитный пакет загадок,14,4701,рядом с розеткой
сломанный карта несуществующих аудиторий,10,3564,на кафедре
магнитный кабель HDMI-невидимка,19,2659,внутри вентиляции
локальный стол,8,1842,на подоконнике
параллельный микрофон-невидимка,4,2968,в углу аудитории
депрессивный забытый бутерброд,18,4803,на кафедре
сингулярный дрон наблюдения за лекцией,20,5126,за занавеской
шумящий проектор,9,2290,
параллельный пакет загадок,1,2631,в шкафу
оптимистичный бутылка времени,3,1273,в шкафу
антикварный проектор,17,5286,у доски
хаотический стул-неврастеник,11,3181,в шкафу
самообновляющийся учебник по квантовой философии,19,3131,на кафедре
квантовый доска,6,795,на кафедре
антикварный дрон наблюдения за лекцией,9,507,в коробке на подоконнике
хаотический пульт управления хаосом,14,3573,в углу аудитории
магнитный коробка с голосами,12,1865,под потолком
локальный учебник по квантовой философии,17,1008,за занавеской
резиновый доска,13,2626,на кафедре
забытый проектор,10,548,у доски
голографический робот-ассистент,11,1224,на подоконнике
депрессивный пульт управления хаосом,6,163,в шкафу
резиновый микрофон-невидимка,17,3214,внутри вентиляции
оптимистичный маркер,2,3001,под потолком
антикварный плакат мотивации,11,253,на кафедре
оптимистичный бутылка времени,14,3616,в углу аудитории
сингулярный кофеварка кафедры,11,1043,в шкафу
параллельный плакат мотивации,3,5163,под потолком
депрессивный забытый бутерброд,19,967,под потолком
оптимистичный маркер,10,4392,
самообновляющийся забытый бутерброд,6,2881,на подоконнике
магнитный пылесос для мыслей,17,4281,внутри вентиляции
параллельный кабель HDMI-невидимка,5,1688,у доски
интерактивный стол,7,942,в шкафу
антикварный стол,6,5034,за занавеской
хаотический плакат мотивации,19,4147,за занавеской
самообновляющийся соковыжималка идей,11,5304,в шкафу
локальный маркер,15,3702,за занавеской
сломанный робот-ассистент,12,2580,внутри вентиляции
хаотический учебник по квантовой философии,15,707,под столом
голографический кабель HDMI-невидимка,3,566,за занавеской
университетский соковыжималка идей,13,839,в коробке на подоконнике
сломанный микрофон-невидимка,15,4854,на кафедре
локальный пакет загадок,17,1642,в шкафу
магнитный плакат мотивации,11,606,
шумящий коробка с голосами,2,790,у доски
университетский плакат мотивации,17,3686,на кафедре
параллельный кабель HDMI-невидимка,10,1400,под потолком
сломанный пакет загадок,11,3448,на подоконнике
оптимистичный кресло,10,2800,в углу аудитории
самообновляющийся стол,3,5037,на кафедре
голографический кабель HDMI-невидимка,13,1258,в шкафу
антикварный энергетический кристалл (почти работает),10,4974,внутри вентиляции
самообновляющийся пылесос для мыслей,5,3185,за занавеской
депрессивный маркер,17,4412,рядом с розеткой
голографический кабель HDMI-невидимка,6,249,у доски
забытый пульт управления хаосом,8,2899,в шкафу
голографический маркер,4,1369,внутри вентиляции
университетский карта несуществующих аудиторий,2,4521,за занавеской
квантовый соковыжималка идей,20,2858,под потолком
шумящий лампа,20,1363,в шкафу
депрессивный доска,12,3685,за занавеской
голографический плакат мотивации,15,2045,у доски
голографический забытый бутерброд,16,4474,у доски
хаотический дрон наблюдения за лекцией,15,3113,в углу аудитории
университетский коробка с голосами,14,3228,в шкафу
квантовый соковыжималка идей,9,1735,под столом
параллельный пульт управления хаосом,18,5352,на подоконнике
голографический кресло,3,4326,в шкафу
университетский плакат мотивации,5,2334,под потолком
хаотический забытый бутерброд,12,851,под столом
оптимистичный доска,17,3498,рядом с розеткой
антикварный кофеварка кафедры,12,2031,у доски
магнитный пакет загадок,11,330,в шкафу
голографический доска,16,1227,
локальный энергетический кристалл (почти работает),15,1236,на кафедре
сингулярный маркер,9,143,у доски
университетский микрофон-невидимка,14,1324,на подоконнике
голографический забытый бутерброд,4,2460,под столом
хаотический стул-неврастеник,3,2053,на подоконнике
сингулярный соковыжималка идей,17,4194,на кафедре
квантовый энергетический кристалл (почти работает),10,2081,под потолком
параллельный соковыжималка идей,8,112,на кафедре
антикварный лампа,17,3512,рядом с розеткой
университетский коробка с голосами,17,654,внутри вентиляции
локальный кофеварка кафедры,2,266,за занавеской
интерактивный кабель HDMI-невидимка,1,3269,рядом с розеткой
резиновый кабель HDMI-невидимка,4,653,на кафедре
сломанный стол,12,2823,внутри вентиляции
шумящий пылесос для мыслей,15,2873,
шумящий пылесос для мыслей,5,4020,на подоконнике
голографический доска,7,3849,под столом
самообновляющийся доска,10,1734,внутри вентиляции
локальный микрофон-невидимка,9,3362,под столом
голографический ноутбук-призрак,12,5399,под столом
магнитный робот-ассистент,12,2819,под потолком
хаотический карта несуществующих аудиторий,13,3376,рядом с розеткой
локальный пульт управления хаосом,12,1630,внутри вентиляции
депрессивный маркер,3,2284,под потолком
голографический лампа,11,5035,на подоконнике
голографический пакет загадок,10,755,в коробке на подоконнике
депрессивный энергетический кристалл (почти работает),6,5036,
хаотический кабель HDMI-невидимка,2,3736,
депрессивный соковыжималка идей,9,2988,за занавеской
оптимистичный маркер,12,569,внутри вентиляции
квантовый проектор,20,1410,за занавеской
квантовый доска,3,3689,у доски
параллельный кабель HDMI-невидимка,13,5385,на кафедре
квантовый соковыжималка идей,15,365,рядом с розеткой
антикварный плакат мотивации,19,3147,в шкафу
оптимистичный кабель HDMI-невидимка,11,4437,за занавеской
магнитный забытый бутерброд,1,2383,
университетский пульт управления хаосом,13,1624,внутри вентиляции
интерактивный робот-ассистент,15,1064,у доски
локальный учебник по квантовой философии,7,5112,на подоконнике
хаотический маркер,6,1211,
самообновляющийся маркер,12,3746,
голографический микрофон-невидимка,10,631,в шкафу
параллельный лампа,17,5324,у доски
квантовый ноутбук-призрак,8,1094,в коробке на подоконнике
параллельный кабель HDMI-невидимка,15,315,внутри вентиляции
антикварный соковыжималка идей,3,1163,в углу аудитории
локальный энергетический кристалл (почти работает),17,3361,под потолком
антикварный бутылка времени,5,3454,рядом с розеткой
хаотический маркер,15,5362,за занавеской
квантовый кабель HDMI-невидимка,18,4338,за занавеской
квантовый лампа,14,4915,внутри вентиляции
университетский кресло,5,553,в углу аудитории
самообновляющийся лампа,8,1448,рядом с розеткой
антикварный учебник по квантовой философии,9,4350,у доски
интерактивный микрофон-невидимка,5,5302,за занавеской
антикварный соковыжималка идей,17,2580,за занавеской
квантовый бутылка времени,6,1481,за занавеской
самообновляющийся карта несуществующих аудиторий,19,5215,под столом
сломанный маркер,19,332,в углу аудитории
депрессивный бутылка времени,20,1826,за занавеской
голографический пульт управления хаосом,10,348,в коробке на подоконнике
оптимистичный дрон наблюдения за лекцией,10,2106,в коробке на подоконнике
сломанный энергетический кристалл (почти работает),6,697,в коробке на подоконнике
хаотический пульт управления хаосом,7,3504,рядом с розеткой
самообновляющийся стол,11,5069,
квантовый кофеварка кафедры,12,2929,внутри вентиляции
самообновляющийся кресло,8,4701,в коробке на подоконнике
хаотический робот-ассистент,8,1103,в шкафу
голографический доска,13,893,на кафедре
шумящий забытый бутерброд,11,3525,на кафедре
шумящий ноутбук-призрак,16,2661,внутри вентиляции
голографический пульт управления хаосом,16,3924,под столом
университетский кофеварка кафедры,15,837,у доски
параллельный бутылка времени,2,1862,под столом
локальный пульт управления хаосом,10,2404,внутри вентиляции
депрессивный кресло,5,166,в углу аудитории
параллельный кофеварка кафедры,2,3096,под потолком
забытый бутылка времени,12,519,внутри вентиляции
оптимистичный маркер,17,2464,в коробке на подоконнике
магнитный робот-ассистент,5,4604,на подоконнике
самообновляющийся кабель HDMI-невидимка,18,3326,рядом с розеткой
университетский ноутбук-призрак,13,1281,внутри вентиляции
сломанный доска,5,429,
университетский пульт управления хаосом,15,2828,в шкафу
квантовый коробка с голосами,11,5066,на кафедре
оптимистичный лампа,20,2709,
самообновляющийся бутылка времени,17,2551,внутри вентиляции
голографический пульт управления хаосом,16,4460,под столом
магнитный пакет загадок,14,3117,на кафедре
сингулярный карта несуществующих аудиторий,20,2620,в коробке на подоконнике
резиновый пылесос для мыслей,2,2275,на кафедре
университетский лампа,20,4035,под потолком
резиновый дрон наблюдения за лекцией,2,1310,на кафедре
сингулярный ноутбук-призрак,15,1000,рядом с розеткой
депрессивный стол,7,3530,под потолком
локальный соковыжималка идей,2,4210,
забытый коробка с голосами,18,1231,рядом с розеткой
оптимистичный коробка с голосами,11,4018,в шкафу
самообновляющийся микрофон-невидимка,18,3865,рядом с розеткой
интерактивный энергетический кристалл (почти работает),20,5369,в коробке на подоконнике
интерактивный забытый бутерброд,18,1675,в углу аудитории
голографический учебник по квантовой философии,7,1942,
локальный пакет загадок,12,4105,внутри вентиляции
магнитный учебник по квантовой философии,19,2340,за занавеской
оптимистичный кофеварка кафедры,12,4549,в шкафу
голографический доска,3,2479,рядом с розеткой
интерактивный пылесос для мыслей,16,3723,у доски
интерактивный микрофон-невидимка,18,1755,
магнитный стол,20,2325,
резиновый забытый бутерброд,2,4907,за занавеской
резиновый забытый бутерброд,2,4450,на подоконнике
локальный пакет загадок,4,3485,за занавеской
шумящий проектор,14,1226,за занавеской
забытый пульт управления хаосом,10,3996,рядом с розеткой
сломанный пылесос для мыслей,3,2438,за занавеской
сломанный забытый бутерброд,6,4803,под потолком
оптимистичный доска,16,1540,в шкафу
сингулярный доска,10,2471,на кафедре
самообновляющийся кресло,10,5037,в коробке на подоконнике
университетский микрофон-невидимка,16,5353,в шкафу
интерактивный плакат мотивации,7,4230,на подоконнике
хаотический лампа,9,2808,
самообновляющийся проектор,10,1625,на кафедре
оптимистичный лампа,14,1682,внутри вентиляции
оптимистичный маркер,4,2786,в шкафу
самообновляющийся пульт управления хаосом,8,1251,под столом
резиновый кофеварка кафедры,15,2236,в углу аудитории
сингулярный учебник по квантовой философии,9,2800,за занавеской
резиновый энергетический кристалл (почти работает),2,3045,за занавеской
голографический плакат мотивации,6,1068,под потолком
голографический энергетический кристалл (почти работает),4,4216,за занавеской
резиновый кабель HDMI-невидимка,8,2516,в шкафу
хаотический стол,20,4017,рядом с розеткой
локальный энергетический кристалл (почти работает),18,3506,за занавеской
антикварный забытый бутерброд,17,1889,в коробке на подоконнике
параллельный энергетический кристалл (почти работает),3,4426,на кафедре
университетский доска,7,1019,на кафедре
шумящий стол,11,4496,внутри вентиляции
забытый кресло,19,3719,в коробке на подоконнике
хаотический коробка с голосами,2,844,в коробке на подоконнике
депрессивный коробка с голосами,15,1180,на кафедре
хаотический микрофон-невидимка,10,572,
интерактивный кофеварка кафедры,1,278,
антикварный бутылка времени,2,1885,под потолком
антикварный энергетический кристалл (почти работает),18,2922,под столом
сломанный пульт управления хаосом,10,665,под потолком
